permalink_url,title,message,Primary_Category,Primary_Category_Other,Secondary_Category,Secondary_Category_Other,Video_Type,voice_first_3_seconds,visual_first_3_seconds,visual_first_3_seconds_Other,background_music_type_first_3_seconds,thumbnail,thumbnail_Sentiment,thumbnail_famous_personality_name,thumbnail_famous_personality_profession
https://www.facebook.com/1954072204870360/posts/2343108625966714/,'Kamali' Selected For Oscars,9 साल की Kamali Moorthy पर बनी short film हुई Oscar awards के लिए shortlist,Entertainment,,"Award/Achievement, X-Factor, Other Sports",,Inspiring,text only (to),commoner (np),,relevant,Commoner,"Happy, Action",,
https://www.facebook.com/1954072204870360/posts/2493154734295435/,What Is Sabarimala Temple Issue?,क्यों है सबरीमाला मंदिर में महिलाओं के प्रवेश पर विवाद?,Judiciary & Crime,,"Judicial, Religion",,Controversial, common voice (optv),commoner (np),,no music,Temple,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2549805008630407/,India's External Affairs Minister S Jaishankar's Birthday,"विदेश में देश का नाम बढ़ाने वाले एस जयशंकर का आज है जन्मदिन

Ministry of External Affairs, Government of India",Politics,,Famous Personality,,"Day-specific, Profile", voice of famous personality (fpv),famous personality (fp),,no music,Famous Personality,Happy ,S Jaishankar,Politics
https://www.facebook.com/1954072204870360/posts/2549770155300559/,Viral - Owner Makes His Dog Wear Helmet In Chennai,ट्रैफिक पुलिस का खौफ इतना की कुत्ते को पहना दिया हेलमेट!,Weird News,,"Animals, Person Specific",,"Funny, Viral",text only (to),other,Animal and Human,relevant,Animal,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2567158553561719/,This Kollywood Actor Does Social Service By Daily Distributing Food Amongst The Poor,पर्दे का खलनायक जो रोज मिटाता है 100 लोगों की भूख,Lifestyle,,"Social Work, Famous Personality",,Inspiring,text only (to),famous personality (fp),,neutral,Famous Personality,neutral ,rajsimmon,film
https://www.facebook.com/1954072204870360/posts/2548838832060358/,The Process Of Executing Death Sentence,कैसे दी जाएगी निर्भया के दोषियों को फांसी?,Judiciary & Crime,,"Judicial, Facts",,"Informative, Explainers",text only (to),other,hang,neutral,Other,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2549703905307184/,Rahul Dravid - The Wall Turns 47,"टीम इंडिया की वॉल का आज है बर्थडे

Rahul Dravid",Sports & Games,,"Cricket, Famous Personality",,"Day-specific, Profile", voice of famous personality (fpv),famous personality (fp),,relevant,Famous Personality,Happy ,Rahul Dravid,Sport
https://www.facebook.com/1954072204870360/posts/2548809705396604/,Deepika Padukone Attends JNU Students Protest Against Campus Attack,"JNU जाने पर क्यों troll हुईं Deepika Padukone?

(via फिल्मी NEWJ)",Politics,,"Bollywood, Famous Personality",,Controversial, common voice (optv),famous personality (fp),,low,Famous Personality,Neutral ,Deepika Padukone,film
https://www.facebook.com/1954072204870360/posts/2548956662048575/,9-Judge Bench To Hear Sabrimala Matter,महिलाओं के मामले में होगी कौन सी सुप्रीम सुनवाई?,Judiciary & Crime,,"Judicial, Religion",,"Explainer, Controversial",text only (to),commoner (np),,neutral,Heritage,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2547970535480521/,Nirbhaya Case - All 4 Convicts To Be Hanged On 22nd January,"22 जनवरी को फांसी के फंदे पर लटकेंगे निर्भया के दोषी

#NirbhayaVerdict",Judiciary & Crime,,"Judicial, Crime",,Informative, common voice (optv),commoner (np),,no music,Commoner,Happy ,,
https://www.facebook.com/1954072204870360/posts/2547882218822686/,Baby Pragya Medha's Mesmerizing Soulful Duet With Her Mom,"इस बार लिटिल लता दी ने गाया कौन सा गाना?

Jubin Nautiyal",Entertainment,,"Music, X-Factor",,"Entertaining, Viral", common voice (optv),commoner (np),,no music,Commoner,Happy ,,
